date,hiring_index
2020-11-17,83.33
2020-11-18,83.83
2020-11-19,84.24
2020-11-20,84.67
2020-11-21,85.17
2020-11-22,85.4
2020-11-23,85.73
2020-11-24,86.03
2020-11-25,86.32
2020-11-26,86.65
2020-11-27,86.87
2020-11-28,87.16
2020-11-29,87.53
2020-11-30,87.81
2020-12-01,87.85
2020-12-02,88.04
2020-12-03,88.25
2020-12-04,88.6
2020-12-05,88.94
2020-12-06,89.04
2020-12-07,89.04
2020-12-08,89.34
2020-12-09,89.53
2020-12-10,89.5
2020-12-11,89.63
2020-12-12,89.46
2020-12-13,89.68
2020-12-14,90.01
2020-12-15,90.2
2020-12-16,90.28
2020-12-17,90.41
2020-12-18,90.39
2020-12-19,90.59
2020-12-20,90.59
2020-12-21,90.5
2020-12-22,90.56
2020-12-23,90.58
2020-12-24,90.7
2020-12-25,90.77
2020-12-26,90.9
2020-12-27,90.96
2020-12-28,91.06
2020-12-29,91.16
2020-12-30,91.23
2020-12-31,91.28
2021-01-01,91.26
2021-01-02,91.18
2021-01-03,91.09
2021-01-04,90.89
2021-01-05,90.59
2021-01-06,90.53
2021-01-07,90.6
2021-01-08,90.79
2021-01-09,90.83
2021-01-10,91.09
2021-01-11,91.48
2021-01-12,92.01
2021-01-13,92.42
2021-01-14,92.75
2021-01-15,93.16
2021-01-16,93.82
2021-01-17,94.24
2021-01-18,94.54
2021-01-19,94.79
2021-01-20,94.92
2021-01-21,95.03
2021-01-22,95.08
2021-01-23,94.71
2021-01-24,94.81
2021-01-25,95.01
2021-01-26,95.28
2021-01-27,95.64
2021-01-28,96.08
2021-01-29,96.52
2021-01-30,97.22
2021-01-31,97.61
2021-02-01,98.01
2021-02-02,98.38
2021-02-03,98.68
2021-02-04,98.89
2021-02-05,99.22
2021-02-06,99.55
2021-02-07,99.92
2021-02-08,100.25
2021-02-09,100.52
2021-02-10,100.88
2021-02-11,101.34
2021-02-12,101.71
2021-02-13,102.24
2021-02-14,102.6
2021-02-15,102.98
2021-02-16,103.39
2021-02-17,103.78
2021-02-18,104.11
2021-02-19,104.38
2021-02-20,104.41
2021-02-21,104.7
2021-02-22,105.04
