ticker,period_end,available_at,revenue,revenue_growth,operating_margin,accession,prior_accession,revenue_tag,derivation,subtract_accession,operating_accession
ADBE,2012-11-30,2013-01-23,1153428000,0.0010996727019920716,0.26682636454117636,0000796343-13-000008,0000796343-12-000003,Revenues,annual_minus_9m,0000796343-12-000029,0000796343-13-000008
CRM,2013-01-31,2013-03-09,834681000,0.3208796147570947,-0.02492808629883752,0001193125-13-098852,0001193125-12-107281,Revenues,annual_minus_9m,0001193125-12-483959,0001193125-13-098852
WDAY,2013-01-31,2013-03-23,81519000,0.8888502710968997,-0.3763294446693409,0001193125-13-122351,0001193125-13-122351,Revenues,annual_minus_9m,0001193125-12-495545,0001193125-13-122351
ADBE,2013-03-01,2013-03-29,1007873000,-0.03573123361588948,0.09745672321810386,0000796343-13-000033,0000796343-12-000013,Revenues,direct_quarter,,0000796343-13-000033
NOW,2013-03-31,2013-05-09,85939000,0.8118740907845081,-0.15025774095579422,0001373715-13-000013,0001373715-13-000013,SalesRevenueNet,direct_quarter,,0001373715-13-000013
CRM,2013-04-30,2013-05-25,892633000,0.2835015895793762,-0.04989732622477547,0001193125-13-235664,0001193125-12-249119,Revenues,direct_quarter,,0001193125-13-235664
VEEV,2013-04-30,2014-03-19,42788000,0.7458076624913297,0.1910114985509956,0001193125-14-103258,0001193125-14-103258,Revenues,direct_quarter,,0001193125-14-103258
WDAY,2013-04-30,2013-06-06,91645000,0.6129571614629168,-0.35598232309454964,0001193125-13-248710,0001193125-13-122351,SalesRevenueServicesNet,direct_quarter,,0001193125-13-248710
ADBE,2013-05-31,2013-06-29,1010549000,-0.10129405602210506,0.11014705867800571,0000796343-13-000044,0000796343-12-000022,Revenues,direct_quarter,,0000796343-13-000044
NOW,2013-06-30,2013-08-08,102222000,0.8005072744566175,-0.18922541135958992,0001373715-13-000061,0001193125-12-349586,SalesRevenueNet,direct_quarter,,0001373715-13-000061
CRM,2013-07-31,2013-08-31,957094000,0.3081327248448369,-0.04164376748783296,0001193125-13-354101,0001193125-12-377656,Revenues,direct_quarter,,0001193125-13-354101
VEEV,2013-07-31,2014-03-19,49581000,0.6832795790188424,0.19842278292087695,0001193125-14-103258,0001193125-14-103258,Revenues,direct_quarter,,0001193125-14-103258
WDAY,2013-07-31,2013-09-07,107555000,0.7153360339383115,-0.3001534098833155,0001193125-13-360085,0001193125-13-122351,SalesRevenueServicesNet,direct_quarter,,0001193125-13-360085
