date,ticker,adjusted_close
2015-01-31,ADBE,70.12999725341797
2015-01-31,CRM,55.489994049072266
2015-01-31,HUBS,33.650001525878906
2015-01-31,NOW,14.579999923706055
2015-01-31,SPY,164.74830627441406
2015-01-31,VEEV,28.760000228881836
2015-01-31,WDAY,79.45999908447266
2015-02-28,ADBE,79.0999984741211
2015-02-28,CRM,68.2000961303711
2015-02-28,HUBS,41.09000015258789
2015-02-28,NOW,15.251999855041504
2015-02-28,SPY,174.0078887939453
2015-02-28,VEEV,30.8700008392334
2015-02-28,WDAY,85.5
2015-03-31,ADBE,73.94000244140625
2015-03-31,CRM,65.6738052368164
2015-03-31,HUBS,39.900001525878906
2015-03-31,NOW,15.755999565124512
2015-03-31,SPY,171.27503967285156
2015-03-31,VEEV,25.530000686645508
2015-03-31,WDAY,84.41000366210938
2015-04-30,ADBE,76.05999755859375
2015-04-30,CRM,71.58160400390625
2015-04-30,HUBS,38.709999084472656
2015-04-30,NOW,14.972000122070312
2015-04-30,SPY,172.95932006835938
2015-04-30,VEEV,26.549999237060547
2015-04-30,WDAY,91.20999908447266
2015-05-31,ADBE,79.08999633789062
2015-05-31,CRM,71.51278686523438
2015-05-31,HUBS,50.79999923706055
2015-05-31,NOW,15.321999549865723
2015-05-31,SPY,175.1829071044922
2015-05-31,VEEV,27.1200008392334
2015-05-31,WDAY,78.91999816894531
2015-06-30,ADBE,81.01000213623047
2015-06-30,CRM,68.44583892822266
2015-06-30,HUBS,49.58000183105469
2015-06-30,NOW,14.862000465393066
2015-06-30,SPY,171.62451171875
2015-06-30,VEEV,28.030000686645508
2015-06-30,WDAY,76.38999938964844
2015-07-31,ADBE,81.98999786376953
2015-07-31,CRM,72.05342864990234
2015-07-31,HUBS,53.95000076293945
2015-07-31,NOW,16.100000381469727
2015-07-31,SPY,175.5013885498047
2015-07-31,VEEV,26.920000076293945
2015-07-31,WDAY,84.33000183105469
2015-08-31,ADBE,78.56999969482422
2015-08-31,CRM,68.1804428100586
2015-08-31,HUBS,47.290000915527344
2015-08-31,NOW,14.192000389099121
2015-08-31,SPY,164.80455017089844
2015-08-31,VEEV,25.899999618530273
2015-08-31,WDAY,70.26000213623047
2015-09-30,ADBE,82.22000122070312
2015-09-30,CRM,68.24925231933594
2015-09-30,HUBS,46.369998931884766
2015-09-30,NOW,13.890000343322754
2015-09-30,SPY,160.5994415283203
2015-09-30,VEEV,23.40999984741211
2015-09-30,WDAY,68.86000061035156
2015-10-31,ADBE,88.66000366210938
2015-10-31,CRM,76.38844299316406
2015-10-31,HUBS,51.880001068115234
2015-10-31,NOW,16.329999923706055
2015-10-31,SPY,174.25994873046875
2015-10-31,VEEV,25.3700008392334
2015-10-31,WDAY,78.97000122070312
2015-11-30,ADBE,91.45999908447266
2015-11-30,CRM,78.33477020263672
2015-11-30,HUBS,54.209999084472656
2015-11-30,NOW,17.402000427246094
2015-11-30,SPY,174.8969268798828
2015-11-30,VEEV,28.860000610351562
2015-11-30,WDAY,83.70999908447266
2015-12-31,ADBE,93.94000244140625
2015-12-31,CRM,77.06669616699219
2015-12-31,HUBS,56.310001373291016
2015-12-31,NOW,17.312000274658203
2015-12-31,SPY,171.87423706054688
2015-12-31,VEEV,28.850000381469727
2015-12-31,WDAY,79.68000030517578
2016-01-31,ADBE,89.12999725341797
2016-01-31,CRM,66.90255737304688
2016-01-31,HUBS,40.59000015258789
2016-01-31,NOW,12.442000389099121
2016-01-31,SPY,163.3171844482422
2016-01-31,VEEV,24.100000381469727
2016-01-31,WDAY,63.0099983215332
2016-02-29,ADBE,85.1500015258789
2016-02-29,CRM,66.59783935546875
2016-02-29,HUBS,41.65999984741211
2016-02-29,NOW,10.998000144958496
2016-02-29,SPY,163.18238830566406
2016-02-29,VEEV,24.290000915527344
2016-02-29,WDAY,60.45000076293945
2016-03-31,ADBE,93.80000305175781
2016-03-31,CRM,72.57442474365234
2016-03-31,HUBS,43.619998931884766
2016-03-31,NOW,12.236000061035156
2016-03-31,SPY,174.1589813232422
2016-03-31,VEEV,25.040000915527344
2016-03-31,WDAY,76.83999633789062
2016-04-30,ADBE,94.22000122070312
2016-04-30,CRM,74.51094055175781
2016-04-30,HUBS,44.290000915527344
2016-04-30,NOW,14.295999526977539
2016-04-30,SPY,174.84536743164062
2016-04-30,VEEV,27.510000228881836
2016-04-30,WDAY,74.9800033569336
2016-05-31,ADBE,99.47000122070312
2016-05-31,CRM,82.28640747070312
2016-05-31,HUBS,47.7599983215332
2016-05-31,NOW,14.326000213623047
2016-05-31,SPY,177.81976318359375
2016-05-31,VEEV,32.95000076293945
2016-05-31,WDAY,75.83999633789062
2016-06-30,ADBE,95.79000091552734
2016-06-30,CRM,78.05953979492188
