date,nav,net_return,gross_return,trading_cost,borrow_cost,turnover,cash_weight,gross_exposure,net_exposure
2016-07-31,0.999000999000999,-0.0009990009990009652,0.0,0.000999000999000999,0.0,0.999000999000999,1.0,1.0,0.0
2016-08-31,1.0314101372860989,0.03244154742338501,0.032891105195246656,3.289110519524667e-05,0.00041666666666666664,0.0318565806259776,1.0,1.0,0.0
2016-09-30,1.0171969266117062,-0.01378036744121125,-0.013301773100582837,6.192767396200351e-05,0.0004166666666666667,0.06278904164789342,1.0,1.0,0.0
2016-10-31,0.9935023548888532,-0.023293986742350836,-0.022326522455711262,0.0005507976199728184,0.00041666666666666664,0.5636160463063713,1.0,1.0,0.0
2016-11-30,1.0204045298911624,0.02707811900991297,0.027579018167949134,8.423249136958034e-05,0.00041666666666666664,0.08200504160463788,1.0,1.0,0.0
2016-12-31,1.0849442676396355,0.06324916820523807,0.06385443487835221,0.00018860000644753454,0.00041666666666666664,0.17734935892364526,1.0,1.0,0.0
2017-01-31,1.0280605501528848,-0.0524300825244276,-0.05183846706433082,0.00017494879342996357,0.00041666666666666664,0.18459482045910347,1.0,1.0,0.0
2017-02-28,1.0064641175587905,-0.021006965582798243,-0.020510843545757773,7.94553703738277e-05,0.0004166666666666667,0.0811537155855199,1.0,1.0,0.0
2017-03-31,1.0692590827205275,0.06239165814877534,0.06287119601145356,6.28711960114536e-05,0.0004166666666666667,0.05917542282983735,1.0,1.0,0.0
2017-04-30,1.04642237468858,-0.02135750670814407,-0.020861933939697486,7.89061017799335e-05,0.00041666666666666664,0.08062161696762696,1.0,1.0,0.0
2017-05-31,1.0527951747656366,0.006090083919462419,0.006616903806604679,0.00011015322047550995,0.00041666666666666664,0.10947445290672324,1.0,1.0,0.0
2017-06-30,1.073303868716064,0.01948023171268143,0.019955362297024243,5.8463917676037176e-05,0.0004166666666666667,0.05734350047389839,1.0,1.0,0.0
2017-07-31,1.0514804693664426,-0.020332917811735518,-0.01934890327764427,0.0005673478674247318,0.0004166666666666667,0.5787879409545936,1.0,1.0,0.0
2017-08-31,1.0157780219696542,-0.03395445606165226,-0.03345776194871619,8.002744626950358e-05,0.0004166666666666667,0.08283337967632,1.0,1.0,0.0
2017-09-30,0.9993781088519469,-0.01614517420440631,-0.015701278140365153,2.722939737443346e-05,0.0004166666666666667,0.02767546905720623,1.0,1.0,0.0
2017-10-31,1.029888574768556,0.030529451912508332,0.03152655579859648,0.0005804372194214793,0.0004166666666666667,0.5629246945833652,1.0,1.0,0.0
2017-11-30,1.070774660603759,0.039699523654188607,0.04018405129417524,6.786097331998093e-05,0.00041666666666666664,0.06526553373694427,1.0,1.0,0.0
2017-12-31,1.0177973007069974,-0.04947573177244424,-0.049002490109581215,5.657499619630073e-05,0.0004166666666666667,0.0595162385183728,1.0,1.0,0.0
2018-01-31,1.017434575942945,-0.0003563821242209553,0.00019896319986717725,0.00013867865742146543,0.0004166666666666667,0.1387088548200355,1.0,1.0,0.0
2018-02-28,1.0054394807337532,-0.011789549414590095,-0.01127196147841808,0.00010092126950521887,0.0004166666666666667,0.10211485203879064,1.0,1.0,0.0
2018-03-31,1.030672692790981,0.025096699046284865,0.02553890461756908,2.5538904617569013e-05,0.00041666666666666664,0.02491303346283687,1.0,1.0,0.0
2018-04-30,1.036909105167717,0.006050817510113937,0.006496795476619798,2.931129983911172e-05,0.00041666666666666664,0.029134160391163615,1.0,1.0,0.0
2018-05-31,1.0453209233227772,0.008112396846683634,0.00862632679782294,9.726328447277766e-05,0.00041666666666666675,0.09647128798599773,1.0,1.0,0.0
2018-06-30,1.048004126567275,0.0025668703119121616,0.003019369780449505,3.583280187070405e-05,0.0004166666666666667,0.03573978182925119,1.0,1.0,0.0
2018-07-31,1.0402198286710378,-0.00742773592097834,-0.00650278230579876,0.0005082869485128847,0.0004166666666666667,0.5118285198385601,1.0,1.0,0.0
2018-08-31,1.0642529874260174,0.02310392293298591,0.023702200226498826,0.00018161062684609632,0.00041666666666666664,0.17747795790125614,1.0,1.0,0.0
2018-09-30,1.0974991671659924,0.03123898183305429,0.031690739075425106,3.5090575704181136e-05,0.0004166666666666667,0.03402643064827539,1.0,1.0,0.0
2018-10-31,1.072526460249152,-0.02275419213421903,-0.02179409594928863,0.000543429518263569,0.00041666666666666664,0.5557736754368949,1.0,1.0,0.0
2018-11-30,1.0220164046026183,-0.04709446108658244,-0.04607141141470139,0.0006063830052143214,0.0004166666666666667,0.6359469570072845,1.0,1.0,0.0
2018-12-31,0.9824151422091622,-0.038748167069641126,-0.038293207195778806,3.829320719577884e-05,0.00041666666666666664,0.03983522367970237,1.0,1.0,0.0
2019-01-31,1.0007043398898623,0.018616567370463244,0.019153658086079713,0.00012042404894968216,0.0004166666666666667,0.11820916484233532,1.0,1.0,0.0
2019-02-28,0.987790898577859,-0.012904352261952412,-0.012392196765728445,9.548882955717689e-05,0.00041666666666666664,0.09672780277301209,1.0,1.0,0.0
2019-03-31,0.9054685351054452,-0.08333986837794793,-0.08271159760225244,0.00021160410902886412,0.00041666666666666664,0.23078921596393034,1.0,1.0,0.0
2019-04-30,0.9415107256049888,0.039805017073670346,0.04079561391057318,0.0005739301702362728,0.0004166666666666667,0.5516549251180882,1.0,1.0,0.0
2019-05-31,0.9502752065962854,0.009308955015530751,0.009771767903587136,4.614622138977186e-05,0.0004166666666666667,0.04571852000670699,1.0,1.0,0.0
2019-06-30,0.9350344218174459,-0.016038285196800284,-0.01552088208477248,0.00010073644536123061,0.00041666666666666664,0.10236793938577572,1.0,1.0,0.0
2019-07-31,0.9337643401776422,-0.0013583260788784246,-0.0008920941771557184,4.9565235056061804e-05,0.0004166666666666667,0.049630189104232954,1.0,1.0,0.0
2019-08-31,0.9425222676027455,0.009379162437748612,0.00988278019995156,8.695109553619716e-05,0.0004166666666666667,0.08613572498422468,1.0,1.0,0.0
2019-09-30,1.0466180882280094,0.11044388467343702,0.11112060635140805,0.0002600550113043507,0.00041666666666666664,0.2341353100612607,1.0,1.0,0.0
2019-10-31,1.031436500637399,-0.014505374750701905,-0.014036928805742033,5.177927829317733e-05,0.00041666666666666664,0.05253865069701824,1.0,1.0,0.0
2019-11-30,0.983482815955773,-0.04649213466072977,-0.04590031541502388,0.00017515257903935938,0.0004166666666666667,0.18365911497688275,1.0,1.0,0.0
2019-12-31,1.0398384293629124,0.05730208244906798,0.057833790018273636,0.00011504090253914005,0.0004166666666666667,0.10879424968502914,1.0,1.0,0.0
2020-01-31,0.9495656336578042,-0.08681425224918493,-0.08617111311094994,0.0002264724715682331,0.0004166666666666667,0.24794114481312188,1.0,1.0,0.0
2020-02-29,0.9709577534610786,0.022528321418784136,0.023478843260050175,0.0005338551745994174,0.0004166666666666667,0.521820850006459,1.0,1.0,0.0
2020-03-31,1.061786712990625,0.09354573791267162,0.0941422626949707,0.00017985811563240746,0.0004166666666666666,0.16444537485959407,1.0,1.0,0.0
2020-04-30,1.0511020829889077,-0.010062877855782415,-0.009460977413999372,0.00018523377511652452,0.0004166666666666667,0.18708170157872453,1.0,1.0,0.0
2020-05-31,0.9496434336356145,-0.09652597116427164,-0.09579682197700695,0.0003124825205979392,0.00041666666666666664,0.3457481569723716,1.0,1.0,0.0
2020-06-30,0.9967954286229082,0.049652315087123755,0.050119100854645,5.0119100854644906e-05,0.00041666666666666664,0.04774600803266285,1.0,1.0,0.0
2020-07-31,1.0384553086531925,0.041793811281657156,0.04289497500052558,0.0006844970522018909,0.00041666666666666664,0.6566055588205844,1.0,1.0,0.0
2020-08-31,1.0661312662158327,0.026651081979188973,0.027564976398364163,0.0004972277525084722,0.0004166666666666667,0.48408564546862143,1.0,1.0,0.0
2020-09-30,1.0317614159280384,-0.03223791607743387,-0.03177999879877668,4.1250611990492774e-05,0.00041666666666666664,0.04262292814927251,1.0,1.0,0.0
2020-10-31,1.021086593609621,-0.010346211976550612,-0.009559899589372771,0.00036964572051110265,0.0004166666666666667,0.3733706778164003,1.0,1.0,0.0
2020-11-30,0.886531146280591,-0.1317767250800599,-0.131046012696094,0.00031404571729930567,0.00041666666666666664,0.3615799918291279,1.0,0.9999999999999999,0.0
2020-12-31,0.7808330624149808,-0.11922658815661769,-0.11830083908858131,0.0005090824013697003,0.0004166666666666666,0.5776608575505378,1.0,1.0,0.0
2021-01-31,0.7625772861472805,-0.02337987099475325,-0.022923966292099227,3.923803598719181e-05,0.00041666666666666664,0.040175763742544605,1.0,1.0,0.0
2021-02-28,0.7606415432306343,-0.002538421943336422,-0.00210203119363859,1.9724083031137463e-05,0.0004166666666666666,0.01977388747922126,1.0,0.9999999999999999,0.0
2021-03-31,0.8129994715546859,0.06883390578652127,0.06942073638398032,0.00017016393079239076,0.00041666666666666664,0.15917987181974788,1.0,0.9999999999999999,0.0
2021-04-30,0.7721866028529888,-0.05020036313633913,-0.049629512082083466,0.00015418438758899947,0.0004166666666666667,0.1623072449836694,1.0,0.9999999999999999,0.0
2021-05-31,0.7644645036291678,-0.010000301993443261,-0.009219662054833561,0.0003639732719431542,0.0004166666666666667,0.3675147650289784,1.0,0.9999999999999999,0.0
2021-06-30,0.7317410865381005,-0.04280567238337207,-0.042174811882255206,0.00021419383445020942,0.00041666666666666664,0.2237225067994701,1.0,1.0,0.0
2021-07-31,0.730856863434888,-0.0012083824722701753,-0.0007207257925313681,7.099001307211477e-05,0.0004166666666666667,0.07107084851928944,1.0,1.0,0.0
2021-08-31,0.7147654643406939,-0.022017169023449523,-0.021503543813221945,9.695854356087909e-05,0.0004166666666666667,0.09913152750907084,1.0,1.0000000000000002,0.0
2021-09-30,0.6696034155510209,-0.0631844304779483,-0.06269380277453665,7.396103674509546e-05,0.0004166666666666667,0.07894317775221826,1.0,1.0,0.0
2021-10-31,0.5907764336557717,-0.11772189338428318,-0.1165128395720544,0.0007923871455620874,0.0004166666666666667,0.8973090496853291,1.0,1.0,0.0
2021-11-30,0.5863021581812639,-0.0075735510416701235,-0.006850393938394416,0.00030649043660903503,0.0004166666666666667,0.30873402548306494,1.0,1.0,0.0
2021-12-31,0.5831664625395914,-0.005348258739827139,-0.004833720994548499,9.787107861204707e-05,0.00041666666666666664,0.09838765192573387,1.0,1.0,0.0
2022-01-31,0.6245595746611109,0.07097992559664612,0.07161770823091256,0.00022111596759967535,0.00041666666666666664,0.2064187384254086,1.0,1.0,0.0
2022-02-28,0.600451430040441,-0.03860023222564657,-0.03812412750028357,5.9438058696293535e-05,0.00041666666666666664,0.06182067667113738,1.0,1.0,0.0
2022-03-31,0.585884733681765,-0.024259574763099367,-0.023782623211271767,6.0284885160889024e-05,0.00041666666666666664,0.061779915238376934,1.0,1.0000000000000002,0.0
2022-04-30,0.6077997410192107,0.037404981010052074,0.03804394538932038,0.00022229771260176342,0.00041666666666666664,0.21423657334396387,1.0,1.0,0.0
2022-05-31,0.687763107542293,0.13156202796169802,0.132273496963558,0.0002948023351934756,0.00041666666666666664,0.26045903271719234,1.0,1.0,0.0
2022-06-30,0.7001192019485232,0.0179656254758771,0.018472632566791214,9.034042424751367e-05,0.0004166666666666667,0.08873817086041853,1.0,1.0,0.0
2022-07-31,0.6852278645575349,-0.021269717141800593,-0.020725290639448432,0.0001277598356853235,0.00041666666666666664,0.13051926848730758,1.0,1.0,0.0
2022-08-31,0.6088539660980156,-0.11145766599674911,-0.11090272830517843,0.00013827102490397862,0.00041666666666666664,0.1555913610825319,1.0,1.0,0.0
2022-09-30,0.5996738925804025,-0.015077627852941089,-0.014517311708099915,0.0001436494781745222,0.00041666666666666664,0.1458272593115321,1.0,1.0,0.0
2022-10-31,0.6443268086475078,0.07446199779510732,0.07496760783490553,8.89433731316112e-05,0.0004166666666666667,0.08277259804445664,1.0,0.9999999999999998,0.0
2022-11-30,0.7025459730028086,0.09035657615660497,0.09091741820782012,0.00014417538454846942,0.00041666666666666664,0.13221025693445249,1.0,1.0,0.0
2022-12-31,0.6610243994569548,-0.05910157504480895,-0.05858682032450886,9.808805363343168e-05,0.00041666666666666664,0.10423848789810751,1.0,1.0,0.0
2023-01-31,0.6721031292867149,0.016759940841611254,0.017291637517374336,0.00011503000909634495,0.0004166666666666667,0.11312109393361504,1.0,0.9999999999999999,0.0
2023-02-28,0.6392143543042671,-0.04893411970474204,-0.04822065607652612,0.000296796961549216,0.0004166666666666667,0.31197036487179725,1.0,1.0,0.0
2023-03-31,0.6754652598890959,0.056711657585169384,0.05719950543427754,7.118118244153084e-05,0.00041666666666666664,0.06735648974442116,1.0,1.0,0.0
2023-04-30,0.7020190716202965,0.039311883686750315,0.04007225898381397,0.00034370863039712596,0.0004166666666666667,0.33059854911286574,1.0,1.0,0.0
2023-05-31,0.641086944245802,-0.08679554422055791,-0.08604947873503449,0.000329398818856752,0.0004166666666666667,0.36057647694030553,1.0,1.0,0.0
2023-06-30,0.6362159943735166,-0.0075979551853387894,-0.007046883922805547,0.00013440459586681338,0.0004166666666666667,0.1354152746195234,1.0,1.0000000000000002,0.0
2023-07-31,0.6506566519697763,0.022697728010562468,0.023165148413158754,5.0753735929438185e-05,0.00041666666666666664,0.04962484602545561,1.0,1.0000000000000002,0.0
2023-08-31,0.6650452981856051,0.02211403844449933,0.022605263231682455,7.455812051644004e-05,0.0004166666666666667,0.07293969113624114,1.0,1.0,0.0
2023-09-30,0.659119727520289,-0.008910025650105902,-0.00845419766757863,3.916131586043117e-05,0.0004166666666666667,0.03951181985395473,1.0,1.0,0.0
2023-10-31,0.6636467091039748,0.006868223472413781,0.007562347926695315,0.0002774577876148131,0.00041666666666666664,0.27548922939101406,1.0,0.9999999999999998,0.0
2023-11-30,0.6117860417625396,-0.07814499285539311,-0.07744696264622565,0.00028136354250076243,0.0004166666666666666,0.30512140226191403,1.0,1.0,0.0
2023-12-31,0.6046980127594074,-0.011585797189343827,-0.01110325382581387,6.587669686334022e-05,0.00041666666666666664,0.06664443546111858,1.0,1.0,0.0
2024-01-31,0.6262330054666702,0.035612805487804655,0.0360725906249228,4.311847045148381e-05,0.0004166666666666667,0.04163397268726647,1.0,1.0,0.0
2024-02-29,0.6061360013246379,-0.032091895455200414,-0.0315697882446766,0.00010544054385716377,0.0004166666666666667,0.1089246575031209,1.0,1.0,0.0
2024-03-31,0.6402461280161015,0.05627470834420012,0.05683123841549716,0.00013986340463054844,0.0004166666666666667,0.13239442958365583,1.0,1.0,0.0
2024-04-30,0.6237358237745066,-0.02578743317472998,-0.025305000111537832,6.576639652553419e-05,0.0004166666666666667,0.06750267791346072,1.0,1.0,0.0
2024-05-31,0.6527282389453637,0.046481882338280434,0.04707767243272093,0.00017912342777386182,0.00041666666666666664,0.17113795850525723,1.0,1.0,0.0
2024-06-30,0.6677368484787214,0.02299365744863069,0.023519935188386798,0.0001096110730893623,0.00041666666666666675,0.1071358839931565,1.0,1.0,0.0
2024-07-31,0.6875924063151161,0.029735603002336575,0.03019704025567456,4.477058667112244e-05,0.0004166666666666666,0.04347585933793557,1.0,1.0,0.0
2024-08-31,0.686619963225773,-0.0014142725841818082,-0.0009103147122815318,8.729120523377353e-05,0.00041666666666666664,0.08740719295120587,1.0,1.0,0.0
2024-09-30,0.7057072916658476,0.02779897099175699,0.02829006292924896,7.442527082514957e-05,0.00041666666666666664,0.07240704068785608,1.0,1.0,0.0
2024-10-31,0.69499494398876,-0.01517959046703432,-0.014465188008166081,0.0002977357922017657,0.0004166666666666667,0.3022335885443357,1.0,1.0000000000000002,0.0
2024-11-30,0.6314965570321297,-0.09136525021634878,-0.09065965618463658,0.00028892736504553066,0.0004166666666666667,0.31787857694707533,1.0,1.0000000000000002,0.0
2024-12-31,0.6435609303321385,0.019104416588917372,0.019864230767168714,0.00034314751158483935,0.0004166666666666667,0.3366014336280371,1.0,1.0,0.0
2025-01-31,0.5883157866791786,-0.08584291098039176,-0.08523620182149011,0.00019004249223503444,0.0004166666666666667,0.20784501387433169,1.0,0.9999999999999998,0.0
2025-02-28,0.5715376347800366,-0.028518955770077792,-0.028065740648354463,3.654845505679572e-05,0.0004166666666666667,0.037619962141691075,1.0,1.0,0.0
2025-03-31,0.5995803747742026,0.049065430319314984,0.04966452359973799,0.00018242661375623495,0.00041666666666666664,0.17386417570531335,1.0,0.9999999999999998,0.0
2025-04-30,0.5921350702668509,-0.01241752535705587,-0.011925290468488878,7.556822190022471e-05,0.0004166666666666667,0.0765125363440854,1.0,1.0,0.0
2025-05-31,0.5452120602357254,-0.07924376107292408,-0.07858173329136758,0.00024536111488979227,0.00041666666666666675,0.26640682804309174,1.0,1.0,0.0
2025-06-30,0.5100479254889694,-0.06449625258023939,-0.0639483602798284,0.00013122563374436396,0.0004166666666666667,0.14025302337310105,1.0,0.9999999999999998,0.0
2025-07-31,0.48904298534477,-0.041182287182253585,-0.04070559653219176,6.002398339509366e-05,0.00041666666666666664,0.06259816146669162,1.0,0.9999999999999998,0.0
2025-08-31,0.4605279502817405,-0.058307829613232665,-0.05756257113299619,0.00032859181356978477,0.00041666666666666664,0.34881589318930967,1.0,0.9999999999999999,0.0
2025-09-30,0.4660875011743816,0.012072124806409512,0.012534783458009747,4.599198493365415e-05,0.0004166666666666666,0.045441321690258565,1.0,1.0,0.0
2025-10-31,0.43261036537194153,-0.07182586041910388,-0.07125613664278527,0.00015305710965188272,0.00041666666666666664,0.16487409848329942,1.0,1.0,0.0
2025-11-30,0.4409391869205142,0.01925247801543506,0.02001135647549334,0.0003422117933915389,0.00041666666666666664,0.335635127185395,1.0,1.0000000000000002,0.0
2025-12-31,0.44628168742612845,0.012116184417460873,0.012646252544760872,0.00011340146063335545,0.0004166666666666666,0.11203136345296744,1.0,1.0,0.0
2026-01-31,0.43290927627218945,-0.02996405976472538,-0.02943593499116102,0.00011145810689762326,0.00041666666666666664,0.1148878068302687,1.0,1.0,0.0
2026-02-28,0.4414497999296312,0.01972820663716135,0.02046178191775072,0.000316908613922805,0.00041666666666666664,0.3106809779141954,1.0,1.0,0.0
2026-03-31,0.43731316525366376,-0.009370566430490612,-0.008859908829037528,9.3990934786474e-05,0.0004166666666666666,0.09487101289999471,1.0,1.0,0.0
2026-04-30,0.4167815376457413,-0.04694948434953494,-0.0464594655975234,7.335208534493878e-05,0.00041666666666666664,0.076959656376238,1.0,0.9999999999999999,0.0
2026-05-31,0.34503339340951905,-0.17214808660072456,-0.17101581307000585,0.0007156068640521507,0.0004166666666666667,0.863667530468396,1.0,1.0,0.0
2026-06-30,0.31745492377751033,-0.0799298565263099,-0.07940930972260726,0.00010388013703612809,0.00041666666666666664,0.11289183825088497,1.0,1.0,0.0
2026-07-31,0.3293260082263541,0.03739455135105629,0.03791132646302916,0.00010010844530609197,0.00041666666666666664,0.0964905644196193,1.0,1.0,0.0
2026-08-31,0.35461673405021576,0.07679540999530987,0.07765212891564333,0.00044005225366685474,0.00041666666666666664,0.4085014549633786,1.0,1.0,0.0
