date,signal,rank_ic,n
2018-06-30,growth_z,0.14285714285714288,6
2018-07-31,composite,-0.4285714285714286,6
2018-07-31,momentum_z,-0.5428571428571429,6
2018-07-31,low_volatility_z,-0.7714285714285715,6
2018-07-31,profitability_z,-0.3714285714285715,6
2018-07-31,growth_z,0.48571428571428577,6
2018-08-31,composite,0.2,6
2018-08-31,momentum_z,0.48571428571428577,6
2018-08-31,low_volatility_z,-0.4285714285714286,6
2018-08-31,profitability_z,0.48571428571428577,6
2018-08-31,growth_z,0.08571428571428573,6
2018-09-30,composite,-0.14285714285714288,6
2018-09-30,momentum_z,-0.48571428571428577,6
2018-09-30,low_volatility_z,0.2571428571428572,6
2018-09-30,profitability_z,-0.6,6
2018-09-30,growth_z,0.3714285714285715,6
2018-10-31,composite,-0.48571428571428577,6
2018-10-31,momentum_z,0.08571428571428573,6
2018-10-31,low_volatility_z,-0.5428571428571429,6
2018-10-31,profitability_z,-0.48571428571428577,6
2018-10-31,growth_z,0.3142857142857143,6
2018-11-30,composite,-0.03571428571428572,7
2018-11-30,momentum_z,0.03571428571428572,7
2018-11-30,low_volatility_z,-0.42857142857142866,7
2018-11-30,profitability_z,-0.7857142857142859,7
2018-11-30,growth_z,0.7500000000000002,7
2018-12-31,composite,-0.3214285714285715,7
2018-12-31,momentum_z,-0.07142857142857144,7
2018-12-31,low_volatility_z,0.10714285714285716,7
2018-12-31,profitability_z,-0.1785714285714286,7
2018-12-31,growth_z,0.21428571428571433,7
2019-01-31,composite,0.10714285714285716,7
2019-01-31,momentum_z,0.6785714285714287,7
2019-01-31,low_volatility_z,-0.4642857142857144,7
2019-01-31,profitability_z,-0.7500000000000002,7
2019-01-31,growth_z,0.8571428571428573,7
2019-02-28,composite,0.3571428571428572,7
2019-02-28,momentum_z,0.5714285714285715,7
2019-02-28,low_volatility_z,-0.5714285714285715,7
2019-02-28,profitability_z,-0.10714285714285716,7
2019-02-28,growth_z,0.3571428571428572,7
2019-03-31,composite,-0.1785714285714286,7
2019-03-31,momentum_z,-0.10714285714285716,7
2019-03-31,low_volatility_z,0.10714285714285716,7
2019-03-31,profitability_z,0.3571428571428572,7
2019-03-31,growth_z,-0.28571428571428575,7
2019-04-30,composite,-0.2142857142857143,8
2019-04-30,momentum_z,0.8095238095238096,8
2019-04-30,low_volatility_z,-0.880952380952381,8
2019-04-30,profitability_z,-0.4047619047619048,8
2019-04-30,growth_z,0.2142857142857143,8
2019-05-31,composite,0.4761904761904762,8
2019-05-31,momentum_z,0.4047619047619048,8
2019-05-31,low_volatility_z,-0.38095238095238104,8
2019-05-31,profitability_z,-0.09523809523809526,8
2019-05-31,growth_z,0.30952380952380953,8
2019-06-30,composite,-0.30952380952380953,8
2019-06-30,momentum_z,-0.19047619047619052,8
2019-06-30,low_volatility_z,-0.14285714285714288,8
2019-06-30,profitability_z,0.19047619047619052,8
2019-06-30,growth_z,-0.19047619047619052,8
2019-07-31,composite,-0.3571428571428572,8
2019-07-31,momentum_z,-0.2142857142857143,8
2019-07-31,low_volatility_z,0.19047619047619052,8
2019-07-31,profitability_z,0.07142857142857144,8
2019-07-31,growth_z,-0.04761904761904763,8
2019-08-31,composite,0.023809523809523815,8
2019-08-31,momentum_z,-0.38095238095238104,8
2019-08-31,low_volatility_z,0.6190476190476191,8
2019-08-31,profitability_z,0.6428571428571429,8
2019-08-31,growth_z,-0.6428571428571429,8
2019-09-30,composite,-0.4285714285714286,8
2019-09-30,momentum_z,-0.19047619047619052,8
2019-09-30,low_volatility_z,0.14285714285714288,8
2019-09-30,profitability_z,-0.19047619047619052,8
2019-09-30,growth_z,0.19047619047619052,8
2019-10-31,composite,0.023809523809523815,8
2019-10-31,momentum_z,0.523809523809524,8
2019-10-31,low_volatility_z,-0.4285714285714286,8
2019-10-31,profitability_z,-0.4761904761904762,8
2019-10-31,growth_z,0.523809523809524,8
2019-11-30,composite,0.30952380952380953,8
2019-11-30,momentum_z,-0.4523809523809524,8
2019-11-30,low_volatility_z,0.6904761904761906,8
2019-11-30,profitability_z,0.7857142857142858,8
2019-11-30,growth_z,-0.5714285714285715,8
2019-12-31,composite,-0.4285714285714286,8
2019-12-31,momentum_z,0.19047619047619052,8
2019-12-31,low_volatility_z,-0.7857142857142858,8
2019-12-31,profitability_z,-0.880952380952381,8
2019-12-31,growth_z,0.9285714285714287,8
2020-01-31,composite,0.523809523809524,8
2020-01-31,momentum_z,0.14285714285714288,8
2020-01-31,low_volatility_z,0.3333333333333334,8
2020-01-31,profitability_z,0.6428571428571429,8
2020-01-31,growth_z,-0.6190476190476191,8
2020-02-29,composite,0.5000000000000001,8
2020-02-29,momentum_z,0.523809523809524,8
2020-02-29,low_volatility_z,-0.1666666666666667,8
2020-02-29,profitability_z,0.2380952380952381,8
2020-02-29,growth_z,0.1666666666666667,8
2020-03-31,composite,0.2380952380952381,8
2020-03-31,momentum_z,0.4761904761904762,8
2020-03-31,low_volatility_z,-0.11904761904761905,8
2020-03-31,profitability_z,-0.07142857142857144,8
2020-03-31,growth_z,0.11904761904761905,8
2020-04-30,composite,-0.5952380952380953,8
2020-04-30,momentum_z,-0.28571428571428575,8
2020-04-30,low_volatility_z,-0.8571428571428572,8
2020-04-30,profitability_z,-0.8095238095238096,8
2020-04-30,growth_z,0.9285714285714287,8
2020-05-31,composite,0.11904761904761905,8
2020-05-31,momentum_z,0.023809523809523815,8
2020-05-31,low_volatility_z,0.1666666666666667,8
2020-05-31,profitability_z,0.5952380952380953,8
2020-05-31,growth_z,-0.523809523809524,8
2020-06-30,composite,0.09523809523809526,8
2020-06-30,momentum_z,0.2142857142857143,8
2020-06-30,low_volatility_z,-0.1666666666666667,8
2020-06-30,profitability_z,0.4285714285714286,8
2020-06-30,growth_z,-0.14285714285714288,8
2020-07-31,composite,-0.5,9
2020-07-31,momentum_z,-0.75,9
2020-07-31,low_volatility_z,0.3,9
2020-07-31,profitability_z,-0.049999999999999996,9
2020-07-31,growth_z,-0.33333333333333337,9
2020-08-31,composite,0.3,9
2020-08-31,momentum_z,0.5333333333333333,9
2020-08-31,low_volatility_z,-0.38333333333333336,9
2020-08-31,profitability_z,-0.21666666666666667,9
2020-08-31,growth_z,0.6166666666666666,9
2020-09-30,composite,-0.5666666666666667,9
2020-09-30,momentum_z,0.049999999999999996,9
2020-09-30,low_volatility_z,-0.16666666666666669,9
2020-09-30,profitability_z,-0.16666666666666669,9
2020-09-30,growth_z,0.16666666666666669,9
2020-10-31,composite,-0.11818181818181818,11
2020-10-31,momentum_z,0.39090909090909093,11
2020-10-31,low_volatility_z,-0.36363636363636365,11
2020-10-31,profitability_z,-0.790909090909091,11
2020-10-31,growth_z,0.6727272727272727,11
2020-11-30,composite,0.03636363636363637,11
2020-11-30,momentum_z,0.10000000000000002,11
