strategy,split,periods,cumulative_return,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,hit_rate,annualized_turnover,trading_cost_sum,borrow_cost_sum,beta,annualized_alpha,information_ratio
composite,development,78.0,-0.31313700423252533,-0.05614974967331421,0.12970456091088028,-0.37984625182114645,-0.48418160335001476,-0.3960535434158714,0.5,5.714415677475367,0.036894563003810284,0.03208333333333334,-0.08980901349208788,-0.03808788108711264,-0.7845901086160588
composite,test,44.0,-0.21463123286813268,-0.06376749304807072,0.1574099221129696,-0.3396077668217982,-0.4401460016590542,-0.31209033015698506,0.4772727272727273,5.472357803017908,0.019923351126432072,0.018333333333333333,0.039594255396922254,-0.06182689956235749,-1.33422414555349
momentum_z,development,78.0,-0.3636735207654995,-0.06718199007195369,0.15084220519604355,-0.3847369705013615,-0.499887298069103,-0.42653372277965695,0.4358974358974359,7.343405894169761,0.047507856368236956,0.03208333333333334,0.06365080184282994,-0.06595816804762923,-0.8455960845215109
momentum_z,test,44.0,0.11027592077136661,0.028940474983404352,0.18714480706165595,0.24222313527190958,0.38981988714674304,-0.24353267107654664,0.5227272727272727,6.287757071534388,0.023044592801843886,0.018333333333333333,0.20192857178892537,0.0026479883685362506,-0.78722425953074
low_volatility_z,development,78.0,-0.5838652731471908,-0.1261827594205006,0.16759050900814226,-0.715160770184053,-0.84194947523683,-0.6178621158981106,0.4358974358974359,3.7281357843589764,0.023631522296601166,0.03208333333333334,0.013239737286628294,-0.12150231137937717,-1.0449374368562752
low_volatility_z,test,44.0,-0.4772210827856823,-0.16212804504674516,0.15109882875222735,-1.0864974376614567,-1.200643631268079,-0.5497172497370792,0.38636363636363635,3.8875433855554293,0.013999270691283655,0.018333333333333333,-0.32694314240357253,-0.09506062176125545,-1.694935897509314
profitability_z,development,78.0,-0.33897560054304543,-0.06170121847651033,0.17765210221412703,-0.26897758837546254,-0.35985360461649735,-0.468640633190212,0.41025641025641024,2.506136454175121,0.016082313167237718,0.03208333333333334,-0.09665492903279543,-0.03575230732705077,-0.680136904133594
profitability_z,test,44.0,-0.46353457702689826,-0.15620168242260601,0.1781426706815294,-0.8559754270285329,-0.9482069747577807,-0.5501606295888674,0.45454545454545453,2.173077625283755,0.007718720563553967,0.01833333333333333,-0.359535607164019,-0.07648862176113785,-1.4975935051701887
growth_z,development,78.0,0.6257687789830466,0.07763225370144577,0.17391355919828044,0.5157873138678436,0.8620901602326119,-0.15813333538499408,0.6025641025641025,2.806505775453897,0.01853932756374672,0.03208333333333334,-0.0652889694756854,0.09782993048021368,-0.14068639102734834
growth_z,test,44.0,0.4209338266520537,0.10055322524872379,0.1991173669484843,0.5790437409827361,0.9794517597823283,-0.17153792574485294,0.5681818181818182,2.277191202831692,0.008356199884833545,0.018333333333333333,0.24992405591970457,0.06246976761615554,-0.4404218383733129
composite_long_only,development,78.0,2.0502111407800285,0.18716830353602276,0.2851191815296752,0.7459949865654433,1.2541980841260318,-0.594477030390792,0.5769230769230769,4.97639153908097,0.03246568616263589,0.0,0.9808776059435881,0.09059254705020389,0.3760569473580189
composite_long_only,test,44.0,1.1405341667351059,0.23067225142596803,0.3698351696265411,0.7408100923345519,1.3739651386008602,-0.40170058759045435,0.5227272727272727,5.95391065707841,0.02273184242463048,0.0,1.4607193001151175,-0.03478308551249408,0.1920374298344211
eligible_equal_weight,development,78.0,3.7085185575275235,0.26917251772759654,0.2999732388853515,0.9487481196723418,1.6961526185434523,-0.5525155131062653,0.5769230769230769,0.9665940044323875,0.006399159639536048,0.0,1.1044477046885302,0.14711144126042525,0.670852924968263
eligible_equal_weight,test,44.0,1.6110540103106699,0.299203109918996,0.3692195302196279,0.8871832677855062,1.831891769460235,-0.3847128448513576,0.5454545454545454,0.8429295355650501,0.0032223432512635325,0.0,1.4533997196012767,0.02035185987034524,0.3567970979986184
hiring_market_timing,development,78.0,0.25617699695429574,0.0357110033793846,0.08173156931065463,0.46977842120176505,0.8180445146020991,-0.12986370375711964,0.16666666666666666,0.3075386152309229,0.0020012582905242814,0.0,0.2345644481347071,0.009195880397979863,-0.5915419052715901
hiring_market_timing,test,44.0,0.2717169995004254,0.0677513520005999,0.07297053582433487,0.9352018228790528,2.551971214910233,-0.05759487239239591,0.22727272727272727,1.3628189991826354,0.005041845131196682,0.0,0.2822698832532505,0.00857715553084712,-1.2937897571035455
spy_buy_hold,development,78.0,0.9752188088450742,0.11039951509652846,0.16500055255941462,0.7195177410042539,1.0896337788498875,-0.23927163536917306,0.7051282051282052,0.15369246138476908,0.0009990009990010023,0.0,0.9944207645217185,-0.005070033502459381,-0.39223227027636676
spy_buy_hold,test,44.0,1.0976368145709876,0.22389631256960563,0.1260110745089726,1.6774382849452123,3.7163598310193318,-0.08325842922097637,0.7045454545454546,0.0,2.4272600315635837e-18,0.0,0.9999999999999999,8.326672684688674e-17,0.29920087877050705
