date,nav,net_return,gross_return,trading_cost,borrow_cost,turnover,cash_weight,gross_exposure,net_exposure
2016-07-31,0.999000999000999,-0.0009990009990009652,0.0,0.000999000999000999,0.0,0.999000999000999,0.0,1.0,1.0
2016-08-31,1.060223229072724,0.06128345230179666,0.0612992784868801,1.582618508316431e-05,0.0,0.014912085030085048,0.0,1.0,1.0
2016-09-30,1.0971396564836184,0.03481948555605752,0.03484553342020935,2.604786415186666e-05,0.0,0.025170775068021407,0.0,1.0,1.0
2016-10-31,1.0596146042565004,-0.03420262133937213,-0.03417793298415284,2.4688355219191624e-05,0.0,0.02556201195057859,0.0,1.0,1.0
2016-11-30,1.1403781184007713,0.07621970650446075,0.07633976317289137,0.00012005666843051689,0.0,0.11154160845698716,0.0,1.0,1.0
2016-12-31,1.070177283605088,-0.06155926149664348,-0.06149640336394413,6.28581326993491e-05,0.0,0.0669769758205039,0.0,1.0,1.0
2017-01-31,1.1457848942794462,0.07064961276290616,0.07068024384120519,3.063107829918696e-05,0.0,0.028608988047910497,0.0,1.0,1.0
2017-02-28,1.1892465228732332,0.03793175212099387,0.0379375612452717,5.809124277982367e-06,0.0,0.00559679550570734,0.0,1.0,1.0
2017-03-31,1.3517440634182072,0.13663907139486775,0.1366761192488659,3.7047853998135134e-05,0.0,0.032593148893298576,0.0,1.0,1.0
2017-04-30,1.4013229482321337,0.036677715963889135,0.03668666113209207,8.945168202751898e-06,0.0,0.008628613194447264,0.0,1.0,1.0
2017-05-31,1.5734026915960306,0.12279806277417182,0.12286020820157705,6.214542740547098e-05,0.0,0.05534564939744886,0.0,1.0,1.0
2017-06-30,1.5434381950058422,-0.019044391337473154,-0.019028323666331504,1.606767114174198e-05,0.0,0.016379342573675584,0.0,1.0,1.0
2017-07-31,1.6018270437103017,0.037830376942459054,0.03783250524121973,2.128298760808828e-06,0.0,0.002050715072095506,0.0,1.0,1.0
