date,nav,net_return,gross_return,trading_cost,borrow_cost,turnover,cash_weight,gross_exposure,net_exposure
2016-07-31,0.999000999000999,-0.0009990009990009652,0.0,0.000999000999000999,0.0,0.999000999000999,0.0,1.0,1.0
2016-08-31,1.0159423029761836,0.01695824527915968,0.016989291032366776,3.104575320702602e-05,0.0,0.03052711909631893,0.0,1.0,1.0
2016-09-30,1.0450325122514572,0.028633721806892387,0.028683883048197426,5.0161241304903254e-05,0.0,0.04876254224598656,0.0,1.0,1.0
2016-10-31,1.036548066513934,-0.008118834235352201,-0.008058691777113769,6.014245823847305e-05,0.0,0.060631065305891324,0.0,1.0,1.0
2016-11-30,1.0535451777565312,0.016397803239131203,0.016475455875252027,7.765263612080669e-05,0.0,0.07639400998024366,0.0,1.0,1.0
2016-12-31,0.9382044992132743,-0.1094786260508247,-0.10942045814820464,5.816790261999213e-05,0.0,0.06531466296546935,0.0,1.0,1.0
2017-01-31,1.0733198613166341,0.14401483068633758,0.14408129537065772,6.646468432006316e-05,0.0,0.058094371955036674,2.0687645214414528e-16,0.9999999999999998,0.9999999999999998
2017-02-28,1.1128805078168438,0.03685820781484539,0.03690145601388756,4.324819904222239e-05,0.0,0.041709073501043574,0.0,1.0,1.0
2017-03-31,1.1713483723435336,0.052537414498693424,0.05259345093209337,5.60364334000483e-05,0.0,0.053236540043477325,0.0,1.0,1.0
2017-04-30,1.2404975378467964,0.05903381704019872,0.05905693509483201,2.3118054633028303e-05,0.0,0.02182890632877849,1.7899640922338873e-16,0.9999999999999998,0.9999999999999998
2017-05-31,1.367282293569291,0.10220476208486651,0.10224804185344397,4.3279768577650704e-05,0.0,0.039264999287161574,0.0,1.0,1.0
2017-06-30,1.326927903218495,-0.029514307718745303,-0.02949134130917785,2.296640956740137e-05,0.0,0.023664301561597764,0.0,1.0,1.0
2017-07-31,1.3975008804037614,0.053185238635867105,0.05320095457535878,1.5715939491752018e-05,0.0,0.01492207106675908,0.0,1.0,1.0
2017-08-31,1.4403155608612936,0.030636603567049114,0.03067472987039958,3.812630335037137e-05,0.0,0.0369915961315608,0.0,1.0,1.0
2017-09-30,1.4416947286149646,0.0009575455484533979,0.001009325012405896,5.177946395258889e-05,0.0,0.05172725434095947,1.5401638121986438e-16,0.9999999999999999,0.9999999999999999
