term,coefficient,hac_se,t,n,lags
intercept,-0.036627038813593846,0.06489721693100517,-0.5643853549611152,62,6
hiring_growth,-0.44337288052465523,0.3563622723535568,-1.2441633554428928,62,6
market_momentum,0.15110413694070857,0.2584727244557125,0.5846038001065725,62,6
