term,coefficient,hac_se,t,n,lags
intercept,-0.01013697311574086,0.0176553649304787,-0.5741582321100179,67,3
hiring_growth,-0.09725274523453199,0.09392778222798286,-1.0353991431254999,67,3
market_momentum,0.06647357987886034,0.08472973965542044,0.784536576521958,67,3
