date,hiring_growth,market_momentum,future_1m_excess,future_3m_excess,future_6m_excess
2015-01-31,,,,,
2015-02-28,,,,,
2015-03-31,,,,,
2015-04-30,,,,,
2015-05-31,,,,,
2015-06-30,,,,,
2015-07-31,,,,,
2015-08-31,,,,,
2015-09-30,,,,,
2015-10-31,,,,,
2015-11-30,,,,,
2015-12-31,,,,,
2016-01-31,,,,,
2016-02-29,,-0.008686716473965572,,,
2016-03-31,,-0.062212699454680886,,,
2016-04-30,,0.016838073171077106,,,
2016-05-31,,0.010904572026160908,,,
2016-06-30,,0.015052016904416154,,,
2016-07-31,,0.03969928119674404,0.015791330238851486,0.05383289264708235,0.01531093178158982
2016-08-31,,0.05381293255173025,0.028625869598471354,0.018284044413393374,-0.003955918288049087
2016-09-30,,0.12355629962730874,0.00927866018284007,-0.1415597185820444,0.02020267983176116
2016-10-31,,0.1530421960191144,-0.020362917421180793,-0.04110474810222153,0.06552016695708707
2016-11-30,,0.044229836344054085,-0.12969255302839244,-0.022840724090731124,0.19134039560035432
2016-12-31,,0.07875435840637524,0.12618696154506837,0.18947942399192574,0.3229252097095139
2017-01-31,,0.1199792257600576,-0.0023903230455006863,0.10497233676965156,0.20769844646957591
2017-02-28,,0.1997522225923103,0.05134330903229589,0.20327858749162475,0.23818740964321505
2017-03-31,,0.24792261238464786,0.04913070120621543,0.10220880658194686,0.15481154017307697
2017-04-30,,0.1707324445579923,0.0881352666618489,0.0850978969687799,0.17005347373799462
2017-05-31,,0.17771187326692295,-0.03586620970051213,0.023437814629737153,0.00534332236844981
2017-06-30,,0.17435502311904405,0.03264689045634994,0.042447633560201536,0.04005623256355206
2017-07-31,,0.1777474206020897,0.027756928113728208,0.07183754184817048,0.055813699570746333
2017-08-31,,0.15966127741067537,-0.01914028483873853,-0.0188688439893272,0.17344208778129722
2017-09-30,,0.1616533239852569,0.06110829152454755,-0.004843266083890407,0.3034319674546955
2017-10-31,,0.18499143980452581,-0.0568431022810687,-0.020857014456126644,0.19812789037117873
2017-11-30,,0.23431455400557,-0.0058506006980363345,0.18244040052794475,0.3564179182074645
2017-12-31,,0.22684707010609428,0.04688123396580157,0.2900140675484518,0.4182776816531708
2018-01-31,,0.21705432808656733,0.12875177092062595,0.20145975506384695,0.3190859717715149
2018-02-28,,0.2630446033816016,0.0895518392829826,0.14325102609954476,0.38316403424810086
2018-03-31,,0.17110496763560668,-0.019599924100934585,0.0921527112364311,0.29285817560445104
2018-04-30,,0.1375822655398904,0.06913571399245777,0.0908182627833205,0.2596254074242996
2018-05-31,,0.13222282878400904,0.04065709712303378,0.20004896602165956,0.22797263657572153
2018-06-30,,0.1436065096537864,-0.023942077703066555,0.1717289050768196,0.21381627052563146
2018-07-31,,0.14289788597763886,0.17204894653320335,0.14826453556852992,0.3572921144202815
2018-08-31,,0.16136748515042232,0.0174153101951926,0.02911883472359411,0.2127984145456403
2018-09-30,,0.19495156311727246,-0.026268955135123506,0.052334415553803915,0.30772227602570956
2018-10-31,,0.17831331735466982,0.04319431904406312,0.187107712018743,0.40455941097985426
2018-11-30,,0.071634597322761,0.04279158322380894,0.18637099060476103,0.37983326284873375
2018-12-31,,0.059139330586354566,0.09420151158382217,0.2707802525470997,0.34043297076401213
2019-01-31,,-0.04569028206060932,0.04085313683235148,0.16789705309015512,0.24782572165378935
2019-02-28,,-0.02427368028398924,0.09753508320824555,0.16200219131745253,0.16124140742072157
2019-03-31,,0.04536528361851966,0.013068118019775365,0.04139454229162598,-0.11768215951462635
2019-04-30,,0.09428198290168277,0.045337213236792406,0.06114022693501808,-0.17245494948404028
2019-05-31,,0.13312937620730714,-0.022038216357967322,-0.010145169108881857,-0.16182482116574282
2019-06-30,,0.035691895228225246,0.03294373474014822,-0.14746308189530088,-0.21373100110687326
2019-07-31,,0.10142767911551087,-0.020111781853669575,-0.21815439050856356,-0.11071244568205774
2019-08-31,,0.07813925246205966,-0.15751059614188068,-0.14267652969840705,-0.023901350487322115
2019-09-30,,0.027296302663723404,-0.05075905381489032,-0.06093050547395529,0.19026346572697694
2019-10-31,,0.04109544093468687,0.08298469977434242,0.15105918345078506,0.32094282083785997
2019-11-30,,0.14310190122350752,-0.08256243463839608,0.11871798738405737,0.4667547081091554
2019-12-31,,0.1629093016661236,0.14921461091332322,0.23261122250301902,0.7184384933973392
2020-01-31,,0.31223911596587084,0.05946941384292792,0.15099765185426028,0.5558708548087219
2020-02-29,,0.21447142133524455,0.046687678038568325,0.32280870244208426,0.6220808616879221
2020-03-31,,0.0832136497602769,0.04511177809758515,0.42280544629411954,0.676866840907651
2020-04-30,,-0.06890231457281204,0.20743031727533112,0.36386029065861947,0.5327890716653594
2020-05-31,,0.008146943948780683,0.08651281306157177,0.1842980616549854,0.3645053246943426
2020-06-30,-0.3506051815544663,0.12812194120122733,0.018286884768933698,0.13287599388557658,0.29081274616798636
2020-07-31,-0.2592088858664854,0.07343212432077251,0.05438862115457321,0.11216578563723689,0.24932580866563625
2020-08-31,-0.026992651215376084,0.11971914615175439,0.047609500144376926,0.12916340141677685,0.17510557338109556
2020-09-30,0.09195933456561911,0.2182701005813532,0.007864969233402408,0.11594774869848368,-0.05191194696633872
2020-10-31,0.14412484700122397,0.15027218761570715,0.06937304427532953,0.10899696596070596,-0.030946127220992103
2020-11-30,0.16891793754538864,0.09733549178186807,0.03125014614607302,0.033197876383260105,-0.1007309783111765
2020-12-31,0.23867964451967838,0.174195924038411,0.0010684410937169542,-0.14163751953756432,-0.02392545149417291
2021-01-31,0.22064723188018176,0.18331587183565823,0.0002200732673156569,-0.12368865455438738,0.0006020003122853002
2021-02-28,0.2128479125248508,0.17173067561489797,-0.14039540531808659,-0.12636431587145358,0.09717087057228557
2021-03-31,0.22537296435485699,0.3078482594205014,0.03013411473415606,0.14053017501859122,0.29035911609356035
2021-04-30,0.27859333917616125,0.5623115093476254,-0.0051220988225375574,0.13001070111018387,0.41764786756624894
2021-05-31,0.2834750537854729,0.4596256858818035,0.10620406103830549,0.2378444298640332,0.37460087156660204
2021-06-30,0.24507434944237927,0.40239210366920064,0.023376603295031106,0.12173855927975397,0.08278317334137997
2021-07-31,0.2067517779110617,0.40885884509476433,0.0834126794243959,0.23731971734134572,-0.06251095456261713
2021-08-31,0.20370370370370372,0.36298397054205767,0.013256947811534414,0.10170207087015481,-0.10570800243292411
2021-09-30,0.267000074643577,0.3119740812956393,0.12678040586153672,-0.04649949646852991,-0.16286549675329087
2021-10-31,0.2679636466912809,0.2994867669570722,-0.029332791260640145,-0.22967979416192474,-0.2878861337271691
2021-11-30,0.2814986737400529,0.42622390578822844,-0.12267135221820424,-0.18273286390547727,-0.3833489196749592
2021-12-31,0.23671497584541057,0.2759688640554616,-0.09982366731630832,-0.11136640507601459,-0.23371417397954963
2022-01-31,0.1947026542725947,0.28728758171371016,0.024930294438532896,-0.10207533048391748,-0.1945241526111544
2022-02-28,0.16155239327296256,0.23194886782913238,-0.03884609661237837,-0.2695454779938872,-0.16137216917155073
2022-03-31,0.11394817073170738,0.1632407063055692,-0.09092905030160459,-0.16651756024670084,-0.15262141179064936
